"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Nano_Every","Module:Arduino_Nano",""
"2","C1, C2, C3","3","C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder",""
"3","C4","1","C","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder",""
"4","J1","1","1X","Connector_Wago:Wago_734-178_1x18_P3.50mm_Horizontal",""
"5","J2","1","10X","Connector_Wago:Wago_734-178_1x18_P3.50mm_Horizontal",""
"6","J3","1","Aux_Out","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"7","J4","1","Btn","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"8","J5","1","PWM_Out","Connector_Wago:Wago_734-132_1x02_P3.50mm_Vertical",""
"9","J6","1","Power IN","Connector_Wago:Wago_734-132_1x02_P3.50mm_Vertical",""
"10","Q1","1","IRLZ34N","Package_TO_SOT_SMD:TO-263-3_TabPin2",""
"11","R1, R2","2","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R3, R4, R5","3","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","U1, U2, U7","3","MCP23017_SS","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm",""
"14","U3, U4, U5, U6, U8, U9","6","TBD62783A","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm",""
